S#,Pub Id,Language Key,Print ISBN,PDF ISBN
334,23384,43911,9781484361153,9781475520781
335,23380,43901,9781484355770,9781475519099
338,23382,43904,9781484358436,9781475571479
340,23379,43900,9781484355701,9781484355749
343,23376,43897,9781475569292,9781475518733
344,23373,43894,9781484349113,9781475555943
347,23375,43896,9781484350843,9781484351895
348,23370,43891,9781484346303,9781484347133
349,23368,43889,9781475554786,9781484345580
352,23371,43892,9781484347508,9781475568585
354,23364,43885,9781484343890,9781484344439
356,23361,43882,9781475568233,9781475553802
357,23362,43883,9781484343067,9781475525588
364,23358,43878,9781475517927,9781484341933
371,23352,43872,9781484337776,9781475523348
389,23343,43863,9781484323489,9781475525793
392,23331,43851,9781484320037,9781475550924
407,23322,43839,9781513549774,9781475566550
409,23323,43840,9781513535944,9781484312469
411,23320,43837,9781475565706,9781484311226
412,23324,43841,9781513541747,9781484311370
413,23318,43832,9781475548723,9781475518146
424,23309,43823,9781498371865,9781475525755
426,23291,43798,9781616355616,9781616358402
427,23307,43821,9781475522662,9781484303894
436,23293,43802,9781484300848,9781475524444
446,23280,43787,9781513583624,9781513587530
463,23267,43772,9781513554167,9781513559124
466,23263,43768,9781513547480,9781513550213
476,23253,43758,9781513524306,9781513528885
503,23220,43722,9781498367042,9781498368131
505,23232,43734,9781498379175,9781498381055
506,23233,43735,9781475515039,9781498383042
515,23218,43720,9781475523881,9781498364775
520,23211,43713,9781498344968,9781498346795
529,23198,43700,9781498327961,9781475557756
535,23192,43694,9781498316699,9781498320122
546,23173,43674,9781484391921,9781484393093
548,23176,43677,9781484398036,9781484398616
549,23177,43678,9781484398654,9781475514452
558,23168,43668,9781498390705,9781513518015
560,23166,43666,9781513535586,9781616355159
561,23165,43665,9781498319942,9781498379373
562,23161,43659,9781513577395,9781513581620
565,23154,43651,9781498310604,9781513531632
566,23153,43649,9781498312646,9781513529554
567,23151,43647,9781513585567,9781513595139
570,23141,43635,9781513539010,9781513586717
577,23138,43632,9781513531090,9781513590974
579,23137,43631,9781513587684,9781498349390
582,23134,43628,9781513560564,9781513547794
586,23135,43629,9781498303835,9781513508832
590,23133,43627,9781513524337,9781498338073
591,23131,43625,9781513588780,9781513529141
593,23130,43624,9781513568379,9781513550091
595,23066,43540,9781513557007,9781513552200
597,23124,43615,9781513594613,9781484392546
603,23103,43588,9781484395950,9781513512808
604,23102,43587,9781513520155,9781513542126
606,23079,43554,9781513595818,9781513526676
608,23071,43545,9781513509587,9781513557038
609,23070,43544,9781513556994,9781513521619
633,23014,43483,9781498344869,9781513500898
634,23017,43486,9781513583488,9781513524580
642,23008,43477,9781513575056,9781513544151
644,23010,43479,9781484318935,9781513550596
645,23006,43474,9781513597522,9781513534572
647,23000,43467,9781513551470,9781513525655
648,22984,43450,9781513588278,9781513565569
658,22996,43462,9781513555584,9781513579955
659,22995,43461,9781513512389,9781513548241
660,22997,43463,9781513597645,9781513562438
661,22993,43459,9781484303672,9781513574486
666,22992,43458,9781513538570,9781513554266
667,22988,43454,9781513524788,9781513555287
669,22986,43452,9781513500171,9781513528120
679,22973,43433,9781513521190,9781513540245
681,22975,43435,9781513554136,9781513538464
682,22969,43429,9781513559322,9781513508665
683,22971,43431,9781513559537,9781513562278
687,22966,43426,9781513591162,9781513522234
688,22965,43425,9781513592817,9781513505084
703,22956,43416,9781513595788,9781513538426
704,22953,43413,9781513503158,9781513534886
709,22947,43407,9781513508702,9781513576855
712,22946,43406,9781513598062,9781513591032
713,22944,43404,9781513584683,9781498334860
714,22942,43402,9781513562216,9781513556673
715,22943,43403,9781513562247,9781513504285
718,22936,43396,9781513500676,9781513502809
721,22938,43398,9781513571324,9781513552781
723,22931,43391,9781513520254,9781513532158
725,22934,43394,9781513501017,9781513590141
732,22926,43386,9781513512525,9781513546629
739,22920,43380,9781498373302,9781513571591
743,22917,43374,9781513542218,9781513549712
745,22916,43372,9781513560038,9781513569079
749,22910,43366,9781513530581,9781513571881
750,22911,43367,9781513518053,9781513572871
757,22909,43365,9781513577517,9781513542614
772,22896,43351,9781513519074,9781513531762
777,22887,43341,9781513529943,9781513536446
780,22885,43339,9781513571874,9781513527987
781,22881,43335,9781513596662,9781513549811
787,22879,43333,9781513576688,9781513572741
795,22875,43329,9781513548968,9781513508429
801,22872,43326,9781513556642,9781513551043
807,22866,43320,9781513543239,9781513527321
817,22855,43308,9781513518947,9781513553979
824,22853,43306,9781513558912,9781513511085
826,22852,43305,9781513536347,9781513589244
827,22851,43304,9781513518367,9781513537832
829,22844,43297,9781513520544,9781513561202
836,22841,43293,9781513509976,9781513508559
845,22833,43282,9781513536057,9781513568829
847,22835,43284,9781513552248,9781513581583
856,22832,43280,9781513532011,9781513576237
858,22831,43279,9781513540313,9781513567860
862,22810,43256,9781513582290,9781513558189
864,22814,43261,9781513551111,9781513575179
871,22802,43248,9781513591728,9781513587691
873,22808,43254,9781513519470,9781513514871
874,22797,43243,9781513596365,9781513573878
875,22795,43241,9781513544663,9781513560861
877,22794,43232,9781513575247,9781513527499
891,22784,43208,9781513505718,9781513517223
893,22774,43198,9781513555942,9781513586694
898,22769,43191,9781513560069,9781513581323
900,22773,43197,9781513512907,9781513564579
905,22762,43182,9781513551067,9781513501727
912,22743,43154,9781513587042,9781513599281
913,22754,43169,9781513561851,9781513531540
914,22755,43171,9781513533568,9781513532295
916,22742,43152,9781513542317,9781513514475
921,22733,43143,9781513502441,9781513562896
931,22731,43141,9781513541020,9781513528342
933,22730,43140,9781513547749,9781513509389
937,22724,43133,9781513526805,9781513560618
938,22727,43136,9781513575773,9781513512099
946,22716,43125,9781513502649,9781513568690
947,22717,43126,9781513505121,9781513546070
954,22701,43107,9781513506180,9781513568515
955,22702,43108,9781513583655,9781513517421
956,22703,43109,9781513543468,9781513537412
958,22705,43111,9781513542652,9781513529004
960,22696,43102,9781513566825,9781513526812
965,22690,43096,9781513568713,9781513559841
978,22681,43087,9781513591254,9781513514543
979,22686,43092,9781513567563,9781513596488
986,22676,43082,9781513511160,9781513574707
992,22669,43073,9781513502434,9781513542348
998,22663,43067,9781513545912,9781513580845
1009,22647,43046,9781513541228,9781513517261
1011,22650,43053,9781513539423,9781513593296
1018,22658,43061,9781513572413,9781513519142
1021,22638,43037,9781513511269,9781513539539
1044,22621,43020,9781513588209,9781513597812
1051,22610,43005,9781484391228,9781513500928
1059,22599,42992,9781513531021,9781513584720
1062,22604,42999,9781513526898,9781513554839
1073,22588,42980,9781513530215,9781513551623
1075,22591,42983,9781513530802,9781513518268
1085,22570,42959,9781513504735,9781513522692
1086,22578,42970,9781513598871,9781513520124
1089,22571,42960,9781513579863,9781513555485
1098,22567,42956,9781513539317,9781513568225
1100,22565,42954,9781513553603,9781513507590
1103,22563,42952,9781513555676,9781513553313
1104,22564,42953,9781513507880,9781513597713
1116,22548,42936,9781484389874,9781475555752
1117,22551,42939,9781513565026,9781513538587
1125,22538,42926,9781475586961,9781484382387
1129,22540,42928,9781484380758,9781475523744
1132,22524,42897,9781475519679,9781484366417
1134,22534,42907,9781475582697,9781484373668
1147,22515,42885,9781484355626,9781475575576
1154,22511,42879,9781484343906,9781484348840
1155,22512,42880,9781484346341,9781475571134
1156,22510,42878,9781475518375,9781484343302
1178,22499,42866,9781475549515,9781484330951
1184,22495,42860,9781484325261,9781484326220
1188,22470,42833,9781484316665,9781475533149
1190,22475,42840,9781484321287,9781475546781
1191,22488,42853,9781475564457,9781475564969
1195,22471,42834,9781475520620,9781484317570
1198,22465,42828,9781475546293,9781484314388
1200,22458,42821,9781475517408,9781484310823
1211,22454,42817,9781484306307,9781484308301
1220,22444,42807,9781475552546,9781484302378
1222,22446,42809,9781475531671,9781475553253
1226,22439,42802,9781475531527,9781475545265
1239,22430,42792,9781484383100,9781475592283
1253,22420,42782,9781498398893,9781498383417
1255,22417,42779,9781498355100,9781498308977
1257,22415,42776,9781498381611,9781498349215
1260,22410,42771,9781475586800,9781498310550
1264,22412,42773,9781498399814,9781498355018
1266,22407,42767,9781498341783,9781498329354
1275,22401,42761,9781498392815,9781498334259
1298,22382,42741,9781498369367,9781475574272
1300,22373,42732,9781498318280,9781498395830
1301,22372,42731,9781498341752,9781498337519
1302,22377,42736,9781498309165,9781498381246
1311,22363,42718,9781498381642,9781498340298
1316,22354,42707,9781484378472,9781498318433
1319,22360,42715,9781484313459,9781498359627
1322,22348,42701,9781484320860,9781498309493
1328,22350,42703,9781484395783,9781498338103
1329,22342,42692,9781484337769,9781498344906
1340,22334,42682,9781484337905,9781498336529
1343,22331,42678,9781498329071,9781498388993
1345,22328,42675,9781475574791,9781498384131
1347,22326,42673,9781498396325,9781484324493
1355,22308,42655,9781484307960,9781498373142
1381,22260,42606,9781498392747,9781498338271
1382,22259,42605,9781498305419,9781484344194
1387,22235,42578,9781498335973,9781498360920
1395,22249,42594,9781484376355,9781484389058
1413,22231,42573,9781498371537,9781498329446
1420,22227,42564,9781498376808,9781498350419
1458,22191,42528,9781498393621,9781484309223
1475,22177,42513,9781498370004,9781498387095
1476,22180,42516,9781498324656,9781498360517
1479,22175,42511,9781498382526,9781498385114
1481,22171,42506,9781498315838,9781475569148
1488,22166,42501,9781498372541,9781484330159
1490,22164,42499,9781484312612,9781475552164
1494,22161,42493,9781484304501,9781498325042
1497,22159,42491,9781484347607,9781498348027
1500,22152,42483,9781498355711,9781498365543
1531,22134,42449,9781498391801,9781475598131
1533,22131,42444,9781484399408,9781484393871
1543,22124,42435,9781498386623,9781484306628
1563,22105,42406,9781498340793,9781498306539
1568,22096,42393,9781498331425,9781498376785
1573,22094,42391,9781498305181,9781498362177
1586,22090,42387,9781498309202,9781484388549
1590,22086,42383,9781484365601,9781498352994
1601,22083,42379,9781498399876,9781498371872
1604,22082,42378,9781484395400,9781484382806
1610,22073,42369,9781498319980,9781484387863
1612,22069,42364,9781498355001,9781498332507
1624,22064,42355,9781484318898,9781498305655
1626,22065,42357,9781498332774,9781498357043
1631,21644,41930,9781498338127,9781484390801
1633,21641,41927,9781484327692,9781498362597
1634,21639,41925,9781498383516,9781498344562
1637,21629,41914,9781498311724,9781484321775
1644,21621,41904,9781498333726,9781498395595
1658,21609,41892,9781484327395,9781498316095
1660,21606,41888,9781498347174,9781498327299
1665,21605,41887,9781498358804,9781484354810
1671,21586,41866,9781498301459,9781484322550
1673,21588,41868,9781484393383,9781498333122
1678,21591,41873,9781498393867,9781498343022
1680,21593,41875,9781498300308,9781498349833
1681,21585,41865,9781498354257,9781484315682
1683,21584,41864,9781498315685,9781498332002
1689,21578,41857,9781498308434,9781498355605
1709,21557,41834,9781498353052,9781484350584
1712,21546,41816,9781498388870,9781498326957
1715,21550,41820,9781498305235,9781498300537
1724,21536,41800,9781498357302,9781498353434
1726,21537,41801,9781484368282,9781498334099
1727,21535,41799,9781498308571,9781498311960
1729,21532,41794,9781498308168,9781498323956
1734,21527,41789,9781498376549,9781498359450
1735,21520,41782,9781498383356,9781498317993
1740,21525,41787,9781498365000,9781498301053
1743,21517,41779,9781498344593,9781498358057
1747,21515,41777,9781498320528,9781484347874
1753,21509,41771,9781498380331,9781498376419
1757,21504,41766,9781498307055,9781498321853
1758,21503,41765,9781498329361,9781484355558
1762,21500,41761,9781498386784,9781498316361
1764,21498,41759,9781498342636,9781498383226
1778,21488,41749,9781498337922,9781498398640
1781,21478,41739,9781498363709,9781498376662
1782,21480,41741,9781498342865,9781498392440
1785,21484,41745,9781498383028,9781498361040
1786,21483,41744,9781498300438,9781498356749
1789,21472,41733,9781498348157,9781498308151
1798,21466,41715,9781498303736,9781498325288
1805,21451,41696,9781498328760,9781498324168
1809,21458,41703,9781498326476,9781498317719
1821,21437,41682,9781498309929,9781498397612
1823,21443,41688,9781498357708,9781498373173
1827,21433,41678,9781498389938,9781498351690
1833,21428,41671,9781498330374,9781498393591
1834,21427,41670,9781498324946,9781498355247
1859,21369,41599,9781498351027,9781498332996
1865,21388,41622,9781498355384,9781498365864
1881,21382,41615,9781498395137,9781498367424
1882,21387,41620,9781498392143,9781498306942
1883,21379,41612,9781498397209,9781498390828
1885,21385,41618,9781498395069,9781498324281
1894,21372,41602,9781498318426,9781498382243
1895,21345,41574,9781616355609,9781616356293
1901,21359,41589,9781498312967,9781498362238
1902,21355,41584,9781498344708,9781498325646
1906,21357,41586,9781498395144,9781498374149
1909,21354,41583,9781498395212,9781498321044
1917,21348,41577,9781498343794,9781498327213
1920,21342,41571,9781616352608,9781616355012
1925,21338,41565,9781484396513,9781484397183
1929,21333,41559,9781484388983,9781484390115
1943,21318,41542,9781475518528,9781484378595
1945,21316,41540,9781484377741,9781484378106
1946,21315,41539,9781484376294,9781484376836
1948,21313,41537,9781484374733,9781484375754
1949,21312,41536,9781484373118,9781484374528
1952,21308,41532,9781484370230,9781484370810
1954,21306,41530,9781484368541,9781484368756
1957,21297,41521,9781484367582,9781484368138
1972,21283,41507,9781484358801,9781484359341
1978,21277,41496,9781484357903,9781475590104
1982,21274,41491,9781484355619,9781484356289
1983,21273,41490,9781475528237,9781475516630
2012,21249,41463,9781475584264,9781484350638
2020,21240,41452,9781484347591,9781484347843
2030,21231,41440,9781475579116,9781475579499
2035,21228,41431,9781484341698,9781484342282
2039,21220,41423,9781484338339,9781484338759
2042,21223,41426,9781475557404,9781484340547
2050,21210,41412,9781475541106,9781475515114
2062,21209,41411,9781475514797,9781475524505
2063,21200,41402,9781475515497,9781475572483
2064,21199,41401,9781484327999,9781484328460
2065,21198,41400,9781475572445,9781475519716
2075,21194,41390,9781484322505,9781475515374
2082,21184,41359,9781475519006,9781475519433
2085,21181,41356,9781484308257,9781484308899
2090,21158,41330,9781475591552,9781475593198
2101,21162,41335,9781475557077,9781475598391
2102,21160,41332,9781475555097,9781475556827
2105,21156,41328,9781475517750,9781475590036
2120,21139,41310,9781475550528,9781475570960
2122,21147,41318,9781475518450,9781475580259
2124,21144,41315,9781475574975,9781475576078
2125,21143,41314,9781475573046,9781475574968
2130,21136,41305,9781475566451,9781475567304
2131,21135,41304,9781475566215,9781475514506
2133,21128,41297,9781616355906,9781475594744
2135,21127,41296,9781616355265,9781616355876
2141,21126,41295,9781484399743,9781616354466
2146,21119,41288,9781484395363,9781484396100
2148,21117,41286,9781484394564,9781484395103
2149,21114,41283,9781484390429,9781484390856
2162,21094,41262,9781484374023,9781484374887
2168,21079,41247,9781484370568,9781484370636
2181,21024,41191,9781484341179,9781484341544
2182,21023,41190,9781484340554,9781484340936
2183,21020,41186,9781484340011,9781484340141
2185,21018,41184,9781475516548,9781475556094
2188,21017,41183,9781484339244,9781484339312
2189,21015,41181,9781484338018,9781475522990
2197,21011,41177,9781484335437,9781484335611
2213,20991,41157,9781475549348,9781484319727
2214,20990,41156,9781484319178,9781484319284
2216,20970,41135,9781484303627,9781484304259
2228,20982,41148,9781484313213,9781475547634
2250,20964,41129,9781475597325,9781475597370
2269,20938,41098,9781475575439,9781475575507
2275,20921,41081,9781475559644,9781475562057
2277,20920,41080,9781475556216,9781475529067
2278,20919,41079,9781475518672,9781475553352
2280,20916,41076,9781475526929,9781475550757
2288,20911,41070,9781475541380,9781475542325
2298,20899,41058,9781475513998,9781475530551
2302,20897,41054,9781475521054,9781475518689
2310,20887,41044,9781484367711,9781475517361
2315,20886,41042,9781475513783,9781475516531
2329,20872,41024,9781484355046,9781484327371
2351,20856,40999,9781616359454,9781484386859
2361,20853,40995,9781484375617,9781484360552
2365,20849,40991,9781475578997,9781484384398
2383,20838,40979,9781484303702,9781484366820
2390,20830,40971,9781616355241,9781484329023
2401,20824,40965,9781484350942,9781484346488
2414,20818,40959,9781484343111,9781484312810
2420,20810,40946,9781484379493,9781484367018
2421,20809,40945,9781484371275,9781484391778
2422,20808,40944,9781616354947,9781475525212
2429,20801,40937,9781484379615,9781484341339
2435,20796,40932,9781475547207,9781484322024
2437,20793,40929,9781475575088,9781484377628
2438,20792,40928,9781475554885,9781484342053
2442,20785,40921,9781484378939,9781475537536
2446,20781,40917,9781484340028,9781484394328
2447,20787,40923,9781484321614,9781484386583
2454,20770,40896,9781484392249,9781484343364
2465,20760,40886,9781484343258,9781475559354
2470,20755,40881,9781484347225,9781484322543
2472,20750,40876,9781475582802,9781475529494
2485,20743,40869,9781484307540,9781484376119
2488,20738,40863,9781475558401,9781484356432
2489,20735,40860,9781484399712,9781475553949
2492,20731,40854,9781475571868,9781484387948
2493,20733,40856,9781484389416,9781484395059
2496,20730,40853,9781616358822,9781484327463
2497,20729,40852,9781484372906,9781484352632
2498,20727,40850,9781484364840,9781484316511
2500,20721,40842,9781484343180,9781484316092
2501,20719,40840,9781484336069,9781484377659
2503,20725,40846,9781475554045,9781475572308
2505,20717,40838,9781484350911,9781484369807
2507,20715,40836,9781484389157,9781484398500
2511,20712,40827,9781484351239,9781484337592
2512,20710,40824,9781475537628,9781484354681
2514,20711,40825,9781475532456,9781484385449
2516,20706,40820,9781484372623,9781557755681
2518,20704,40817,9781484361375,9781484306529
2521,20702,40815,9781484348642,9781484319666
2526,20697,40810,9781484377987,9781484318904
2529,20694,40807,9781484345078,9781484321485
2531,20686,40798,9781484382059,9781475536867
2538,20690,40802,9781475538908,9781484390733
2547,20675,40786,9781475566925,9781484306796
2548,20674,40785,9781484385456,9781475562316
2553,20668,40777,9781484301661,9781589063969
2555,20665,40772,9781475553093,9781475584912
2556,20664,40771,9781484384404,9781484313978
2557,20661,40757,9781484339992,9781475581010
2559,20659,40755,9781475573855,9781484387498
2563,20656,40749,9781475549836,9781475574845
2564,20654,40746,9781475563672,9781475571837
2565,20652,40742,9781484366370,9781475599077
2580,20639,40728,9781475582130,9781484344361
2590,20635,40724,9781484377673,9781484329436
2595,20626,40715,9781484323717,9781475589368
2600,20621,40708,9781475556797,9781475583380
2602,20619,40705,9781475536386,9781475552720
2605,20614,40700,9781484338483,9781484349588
2606,20612,40697,9781475587647,9781484374337
2607,20611,40695,9781484399972,9781475596816
2614,20608,40692,9781484373941,9781475575514
2620,20603,40687,9781475569902,9781484385579
2623,20592,40672,9781484383841,9781484390849
2624,20597,40678,9781475514810,9781557753380
2625,20591,40671,9781484369975,9781484336090
2629,20586,40666,9781484321331,9781484333129
2633,20563,40643,9781484338353,9781484350508
2641,20560,40640,9781484396544,9781484337448
2643,20557,40637,9781484358511,9781484338827
2644,20556,40636,9781484389287,9781484384886
2651,20546,40624,9781484399026,9781484368374
2679,20503,40561,9781484318751,9781484313305
2692,20506,40564,9781484310021,9781484340318
2696,20496,40554,9781484399064,9781484389409
2697,20480,40538,9781484324912,9781484310366
2701,20484,40542,9781484346921,9781484390924
2702,20488,40546,9781484380062,9781484321959
2703,20482,40540,9781484371206,9781484362532
2708,20481,40539,9781484320433,9781484373019
2717,20475,40533,9781484308837,9781484347560
2720,20390,40440,9781484307168,9781484300541
2722,20462,40520,9781484310380,9781484347010
2723,20464,40522,9781484343814,9781484387030
2725,20467,40525,9781484311271,9781484354636
2740,20433,40488,9781484318089,9781484383568
2751,20426,40481,9781484342695,9781484380994
2752,20432,40487,9781484390474,9781484362129
2759,20423,40478,9781484359150,9781484324257
2770,20419,40474,9781484390689,9781484389607
2777,20413,40466,9781484327432,9781484318744
2780,20412,40463,9781484350522,9781484371909
2784,20407,40457,9781484323557,9781484378403
2785,20405,40455,9781484331064,9781484367254
2787,20403,40453,9781484368688,9781484308059
2789,20394,40444,9781484312766,9781484364147
2791,20388,40438,9781484398388,9781484379165
2795,20392,40442,9781484327944,9781484315057
2797,20377,40427,9781484351604,9781484304587
2799,20373,40423,9781484388358,9781484376072
2812,20360,40409,9781484351284,9781484342596
2814,20370,40420,9781484382646,9781484302002
2815,20368,40417,9781484355923,9781484351598
2816,20367,40416,9781484387672,9781484340042
2841,20342,40389,9781475563757,9781475576702
2843,20339,40386,9781475516395,9781475577181
2853,20325,40372,9781475549935,9781557755230
2868,20300,40346,9781475546590,9781475516098
2876,20285,40331,9781475567588,9781475555264
2884,20288,40334,9781589067479,9781475517217
2886,20286,40332,9781475578508,9781557756787
2887,20284,40330,9781475520569,9781475546347
2888,20280,40324,9781475596762,9781475513462
2893,20276,40320,9781616356613,9781475524574
2902,20256,40293,9781475595253,9781475561869
2907,20262,40299,9781475594225,9781475531480
2909,20258,40295,9781475540161,9781475528282
2910,20260,40297,9781475573916,9781475563849
2923,20232,40268,9781475567601,9781475562613
2929,20242,40278,9781616356385,9781475576528
2932,20238,40274,9781475519839,9781475593402
2934,20234,40270,9781475585278,9781475520705
2935,20233,40269,9781475532517,9781475563887
2939,20229,40265,9781475529036,9781475520941
2940,20228,40264,9781475591422,9781616356446
2949,20221,40256,9781475573121,9781616355494
2951,20219,40254,9781475545319,9781475564532
2952,20217,40251,9781475548600,9781475539400
2954,20213,40247,9781475545678,9781475566918
2955,20212,40246,9781475584738,9781475599282
2960,20215,40249,9781475570144,9781475571240
2974,20202,40232,9781475592917,9781475563665
2976,20197,40226,9781475532418,9781475576474
2986,20187,40215,9781475580822,9781475569919
2993,20178,40197,9781475583717,9781475518603
2994,20172,40191,9781475598520,9781475534863
3001,20171,40190,9781475542004,9781475539455
3003,20167,40186,9781475542769,9781475598780
3005,20164,40183,9781475545067,9781475513912
3011,20157,40173,9781475554564,9781475598162
3012,20158,40177,9781475548969,9781475523119
3020,20140,40156,9781475544985,9781475578287
3024,20149,40165,9781475582796,9781616359768
3026,20145,40161,9781616357269,9781475552188
3028,20148,40164,9781475552638,9781475540420
3034,20137,40152,9781475575095,9781475536805
3040,20134,40149,9781475555479,9781475523324
3044,20130,40142,9781475592023,9781557753786
3055,20114,40124,9781475596472,9781475571967
3056,20117,40127,9781475581485,9781475579581
3057,20109,40119,9781475523126,9781475514438
3064,20108,40118,9781475591347,9781475590753
3075,20091,40098,9781475561357,9781475585360
3083,20088,40095,9781475588095,9781475521290
3093,20083,40088,9781616350918,9781475540130
3095,20077,40081,9781475548341,9781475591866
3097,20079,40083,9781475596168,9781475531503
3116,20060,40064,9781475559330,9781475545326
3123,20056,40060,9781475540765,9781475542615
3125,20053,40057,9781475582062,9781475591255
3129,20049,40053,9781475513233,9781475513271
3130,20048,40052,9781475513196,9781475513226
3132,20047,40051,9781475513158,9781475513189
3134,20046,40049,9781475513097,9781475513127
3137,20043,40046,9781475512830,9781475512861
3144,20036,40038,9781475511840,9781475512571
3150,20032,40034,9781475511444,9781475512243
3157,20025,40026,9781475510904,9781475512113
3166,20010,40014,9781475510768,9781475511918
3175,20004,40004,9781475510652,9781475511475
3176,20005,40005,9781475510676,9781475511505
3180,20001,40001,9781475510638,9781475511246
3188,13094,26252,9781475510485,9781475573404
3191,13090,26248,9781475510478,9781475587180
3197,13085,26243,9781475510430,9781475541915
3200,13076,26233,9781475506624,9781475574029
3201,13075,26232,9781475505832,9781475509069
3202,13080,26238,9781475505795,9781475536621
3221,13070,26227,9781475506006,9781475543841
3225,13061,26207,9781475506655,9781475526141
3226,13066,26223,9781475506778,9781475558944
3232,13059,26205,9781475504873,9781475593020
3236,13051,26197,9781475505917,9781475545807
3237,13038,26180,9781475505863,9781475583854
3243,13049,26193,9781475504842,9781475590395
3247,13043,26185,9781475506570,9781475527452
3248,13042,26184,9781475506174,9781475556308
3249,13041,26183,9781475506563,9781475522204
3250,13040,26182,9781475506297,9781475577303
3253,13028,26166,9781475504880,9781475528732
3265,13021,26158,9781475504965,9781475522174
3266,13020,26157,9781475505016,9781475545791
3269,13015,26152,9781475506112,9781475524819
3270,13014,26151,9781475506037,9781475524161
3273,13011,26148,9781475505030,9781475541199
3276,13007,26144,9781475506662,9781475516302
3278,13005,26142,9781475504903,9781475537260
3279,13001,26138,9781475506792,9781475539264
3281,12998,26135,9781475506334,9781475539912
3285,13052,26198,9781475506686,9781475577310
3315,12987,26124,9781475506587,9781475547788
3316,12988,26125,9781475505818,9781475528749
3317,12986,26123,9781475505900,9781475591071
3319,12982,26106,9781475506761,9781475591088
3321,12977,26100,9781475505856,9781475535310
3322,12976,26099,9781475506150,9781475556964
3323,12974,26097,9781475505467,9781475568103
3324,12975,26098,9781475506679,9781475564846
3327,12968,26086,9781475506709,9781475569438
3330,12965,26083,9781475506464,9781475567465
3331,12956,26074,9781475505771,9781475599596
3337,12960,26078,9781475505801,9781475532685
3339,12957,26075,9781475505788,9781475541212
3342,12954,26072,9781475506259,9781475582550
3343,12953,26071,9781475504972,9781475598926
3347,12955,26073,9781475506143,9781475508420
3355,12939,26055,9781475505849,9781475565485
3357,12937,26053,9781475506518,9781475593051
3358,12934,26050,9781475506099,9781475585827
