S#,Pub Id,Language Key,Print ISBN,PDF ISBN
51,23710,44269,9781475536485,9781475536522
53,23708,44267,9781475536263,9781475536317
54,23668,44227,9781475535556,9781475535747
55,23671,44230,9781475535860,9781475536034
56,23664,44223,9781475532593,9781475532791
57,23665,44224,9781475532807,9781475532920
64,23662,44219,9781475532289,9781475532364
66,23655,44211,9781475531473,9781475531589
72,23579,44123,9781475575200,9781498386920
75,23647,44201,9781475529920,9781475530131
76,23651,44205,9781475530353,9781475530445
84,23645,44199,9781475529685,9781475529739
89,23640,44194,9781475527285,9781475527506
91,23638,44190,9781475526875,9781475526974
93,23634,44186,9781475525014,9781475525120
96,23629,44181,9781475524321,9781475524376
99,23621,44173,9781475523713,9781475523799
117,23607,44156,9781475521825,9781475522068
118,23609,44158,9781475522105,9781475522433
124,23603,44152,9781475520736,9781475521177
127,23605,44154,9781475521047,9781475521405
134,23591,44140,9781475517675,9781475518979
137,23601,44150,9781475520521,9781475520590
139,23588,44136,9781498390774,9781498391238
142,23585,44129,9781498388689,9781475584004
143,23586,44130,9781498389990,9781498390217
145,23584,44128,9781498387194,9781498388467
155,23567,44109,9781498378406,9781475572940
156,23568,44110,9781498379410,9781475573732
157,23556,44098,9781498369213,9781498371483
159,23558,44100,9781498371544,9781475520132
161,23565,44107,9781498377393,9781475583496
165,23564,44106,9781498376389,9781498377294
166,23560,44102,9781498373890,9781498374316
167,23554,44096,9781498368438,9781475523645
169,23535,44076,9781498357654,9781475522983
173,23533,44074,9781498356794,9781475570298
174,23541,44083,9781498362245,9781498365727
178,23538,44079,9781498358958,9781498359573
179,23539,44080,9781498359665,9781498360821
188,23530,44071,9781498354936,9781475569612
190,23526,44067,9781498353298,9781498354059
193,23521,44062,9781475568608,9781498352055
194,23512,44046,9781475536126,9781498348270
195,23509,44043,9781475568011,9781475526363
208,23510,44044,9781498345026,9781498346245
211,23503,44037,9781498340953,9781475519266
212,23506,44040,9781498342858,9781498344296
214,23504,44038,9781498342223,9781498342834
218,23502,44036,9781475567342,9781498342070
221,23500,44034,9781475578232,9781498339667
228,23495,44029,9781498333979,9781498334990
229,23476,44009,9781475519198,9781498320931
239,23477,44010,9781498321150,9781498321716
244,23474,44007,9781475533460,9781498320207
246,23473,44006,9781498319492,9781475533088
247,23472,44005,9781498318228,9781475564242
248,23464,43996,9781475563603,9781475525236
251,23466,43999,9781475517682,9781498316026
252,23460,43992,9781498311816,9781498312899
271,23454,43986,9781498307444,9781475521962
274,23447,43979,9781475517231,9781484396469
277,23432,43964,9781484390610,9781484392980
279,23451,43983,9781498304467,9781498305761
280,23453,43985,9781498306188,9781475521788
281,23433,43965,9781484390818,9781484391792
286,23428,43960,9781475532388,9781475521191
287,23430,43962,9781484389645,9781475574913
288,23417,43948,9781475530872,9781475531282
289,23426,43957,9781484386736,9781475559125
294,23422,43953,9781475519662,9781484385845
296,23408,43938,9781475519426,9781475557879
298,23416,43947,9781484382547,9781484383308
309,23410,43940,9781484379691,9781475526448
311,23405,43935,9781484375662,9781484376997
313,23407,43937,9781484377031,9781484377505
314,23402,43932,9781484373149,9781484374504
315,23399,43927,9781484356661,9781484370056
318,23401,43931,9781475556865,9781484373057
319,23400,43928,9781484368770,9781475573633
323,23395,43922,9781484365700,9781484366110
325,23389,43916,9781475519228,9781484363379
